"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","g"
"yefM",6.7871539547533,6.78490614475977,10.335325712246,0.00019132762545699,0.413849823530341,0.283793499847344,"UP"
"hisL",-3.40657381799227,0.881890204369732,-7.22567607239088,0.000964850218185065,0.413849823530341,-0.511377665867333,"DOWN"
"ybbV",-3.72499899657517,1.18030813318271,-6.83693364237602,0.00123134515943322,0.413849823530341,-0.65828397481985,"DOWN"
"ldrA",-3.0968095584987,0.819937352471019,-6.56863579747216,0.00146720468643998,0.413849823530341,-0.76821961714925,"DOWN"
"yoaI",-3.09419860786042,0.819415162343363,-6.56309771593887,0.00147261397735844,0.413849823530341,-0.770567003385577,"DOWN"
"mokB",-3.23584996436015,1.02584524398867,-6.50917558409274,0.00152654263452249,0.413849823530341,-0.793592867080618,"DOWN"
"ymgC",-2.87171999381257,0.774919439533793,-6.0911988274857,0.00203488941553708,0.440989606195678,-0.983028944020216,"DOWN"
"pyrL",-2.70838196158487,0.742251833088252,-5.74474289427045,0.00261442599850708,0.540829669054806,-1.15590384464421,"DOWN"
"ysaB",-2.5291854033157,0.706412521434418,-5.36464947709522,0.00349045475900021,0.624094558415265,-1.36387868507006,"DOWN"
"yebV",-2.52604228581761,0.892178037472407,-5.02055623059595,0.00459703316312877,0.65378431016872,-1.5702877522643,"DOWN"
"holE",-2.27459577558224,0.655494595887728,-4.82463998965171,0.00541118197783128,0.690840461588117,-1.69611636036802,"DOWN"
"yhdT",-2.8078850133685,1.08749619239267,-4.34120029020198,0.00826306980714692,0.836796784700644,-2.03450027105343,"DOWN"
"torI",-2.04263524155861,0.609102489083001,-4.33262902203927,0.00832767599657182,0.836796784700644,-2.04087557768054,"DOWN"
"kilR",-2.03272305313429,0.607120051398136,-4.31160430144041,0.00848866444013532,0.836796784700644,-2.0565710811461,"DOWN"
"alpA",-1.94386843696147,0.589349128163572,-4.12313497469034,0.0101062223524956,0.879102183635087,-2.20095244998328,"STABLE"
"osmB",-1.84687152070974,0.569949744913226,-3.91739503353477,0.0122977347861549,0.879102183635087,-2.36630266922024,"STABLE"
"ydaE",-1.76517833711874,0.553611108195027,-3.74411580534567,0.0145795090682566,0.879102183635087,-2.51199511147619,"STABLE"
"yeiS",-1.76158009628715,0.552891460028709,-3.73648358480133,0.0146907630457071,0.879102183635087,-2.51854936273225,"STABLE"
"citD",-1.70383905916921,0.541343252605121,-3.61400920068713,0.0166171899118964,0.879102183635087,-2.62532090495868,"STABLE"
"yoaF",-1.66463003677194,0.533501448125668,-3.53084303136433,0.0180915063851923,0.879102183635087,-2.6995430526706,"STABLE"
"ydhL",1.82186294721926,8.43367078596269,3.44701751255567,0.019731656483187,0.879102183635087,-2.77576505561603,"STABLE"
"yqhH",-2.90186345196091,1.28245817056069,-3.23954663889339,0.0245773019678236,0.879102183635087,-2.97050196121137,"DOWN"
"thrL",-3.88501068346205,10.4579176164638,-3.22125969511456,0.0250659400191405,0.879102183635087,-2.98807994527699,"DOWN"
"paaB",-2.75131241808067,1.22644795305749,-3.21206464205148,0.025315809694715,0.879102183635087,-2.99694364760226,"DOWN"
"ybjH",1.94743992658154,5.95225576084526,3.20944965141278,0.0253873872093704,0.879102183635087,-2.99946747241973,"STABLE"
"yhhL",2.63956969360105,2.42913736915308,3.07995584917831,0.029237171569798,0.879102183635087,-3.12613435244671,"UP"
